threshold,precision,recall,f1,accuracy
0.0,0.503737780333525,1.0,0.669980879541109,0.503737780333525
0.05555555555555555,0.5188735769922109,0.9885844748858448,0.6805500982318271,0.5324899367452559
0.1111111111111111,0.5508749189889826,0.9703196347031964,0.7027697395618024,0.58654399079931
0.16666666666666666,0.5896159317211949,0.9463470319634704,0.7265556529360211,0.6411730879815987
0.2222222222222222,0.6329704510108864,0.9292237442922374,0.7530064754856614,0.6929269695227142
0.2777777777777778,0.6723549488054608,0.8995433789954338,0.7695312500000001,0.7285796434732605
0.3333333333333333,0.7038745387453874,0.8710045662100456,0.7785714285714285,0.750431282346176
0.38888888888888884,0.7411883182275931,0.8401826484018264,0.7875869448903156,0.7717078780908568
0.4444444444444444,0.7624602332979852,0.8207762557077626,0.7905442550852116,0.7809085681426107
0.5,0.7819634703196348,0.7819634703196348,0.7819634703196348,0.780333525014376
0.5555555555555556,0.788647342995169,0.7454337899543378,0.7664319248826289,0.7711328349626222
0.611111111111111,0.8036649214659686,0.7009132420091324,0.748780487804878,0.7630822311673375
0.6666666666666666,0.8479623824451411,0.617579908675799,0.7146631439894319,0.7515813686026452
0.7222222222222222,0.872822299651568,0.571917808219178,0.6910344827586207,0.7423806785508913
0.7777777777777777,0.9303944315545244,0.4577625570776256,0.613618974751339,0.7096032202415181
0.8333333333333333,0.972972972972973,0.3698630136986301,0.5359801488833748,0.6774008050603795
0.8888888888888888,0.9841897233201581,0.2842465753424658,0.4410983170947742,0.6371477860839563
0.9444444444444444,0.9867549668874173,0.17009132420091325,0.2901655306718598,0.5807935595169638
1.0,0.0,0.0,0.0,0.496262219666475
