threshold,precision,recall,f1,accuracy
0.0,0.503737780333525,1.0,0.669980879541109,0.503737780333525
0.05555555555555555,0.5182307232516438,0.9897260273972602,0.6802667712828561,0.5313398504887866
0.1111111111111111,0.552956465237167,0.9714611872146118,0.7047619047619047,0.5899942495687176
0.16666666666666666,0.5891089108910891,0.9509132420091324,0.7275109170305677,0.6411730879815987
0.2222222222222222,0.6321928460342147,0.928082191780822,0.7520814061054578,0.691776883266245
0.2777777777777778,0.6748726655348047,0.9075342465753424,0.7740993184031157,0.7331799884991375
0.3333333333333333,0.7057745187901008,0.8789954337899544,0.7829181494661921,0.7544565842438183
0.38888888888888884,0.733201581027668,0.8470319634703196,0.7860169491525424,0.7676825761932144
0.4444444444444444,0.7502656748140276,0.8059360730593608,0.7771051183269126,0.7671075330649799
0.5,0.7706214689265537,0.7785388127853882,0.7745599091425327,0.7717078780908568
0.5555555555555556,0.791871921182266,0.7340182648401826,0.7618483412322274,0.7688326624496837
0.611111111111111,0.8043184885290149,0.680365296803653,0.7371675943104515,0.7556066705002875
0.6666666666666666,0.842948717948718,0.6004566210045662,0.7013333333333334,0.7423806785508913
0.7222222222222222,0.8743068391866913,0.5399543378995434,0.667607621736062,0.7291546866014951
0.7777777777777777,0.9391727493917275,0.4406392694063927,0.5998445998445998,0.7038527889591719
0.8333333333333333,0.9790209790209791,0.319634703196347,0.48192771084337355,0.6538240368027602
0.8888888888888888,0.990990990990991,0.2511415525114155,0.40072859744990896,0.6216216216216216
0.9444444444444444,1.0,0.14269406392694065,0.24975024975024973,0.5681426106958022
1.0,0.0,0.0,0.0,0.496262219666475
