threshold,precision,recall,f1,accuracy
0.0,0.503737780333525,1.0,0.669980879541109,0.503737780333525
0.05555555555555555,0.5060728744939271,0.9988584474885844,0.6717850287907869,0.5083381253594019
0.1111111111111111,0.5236938031591738,0.9840182648401826,0.6835844567803331,0.5411155836687752
0.16666666666666666,0.552461139896373,0.973744292237443,0.7049586776859504,0.5894192064404831
0.2222222222222222,0.5906515580736544,0.952054794520548,0.729020979020979,0.6434732604945371
0.2777777777777778,0.6348709929632526,0.9269406392694064,0.7535962877030163,0.6946520989074181
0.3333333333333333,0.6786941580756014,0.9018264840182648,0.7745098039215687,0.7354801610120759
0.38888888888888884,0.7034990791896869,0.8721461187214612,0.7787971457696228,0.750431282346176
0.4444444444444444,0.7449799196787149,0.8470319634703196,0.7927350427350426,0.7768832662449684
0.5,0.7660256410256411,0.8184931506849316,0.7913907284768211,0.7826336975273146
0.5555555555555556,0.7859608745684695,0.7796803652968036,0.7828080229226361,0.78205865439908
0.611111111111111,0.8031088082901554,0.7077625570776256,0.7524271844660194,0.765382403680276
0.6666666666666666,0.8441754916792739,0.636986301369863,0.7260897852960314,0.757906843013226
0.7222222222222222,0.865546218487395,0.5878995433789954,0.7002039428959892,0.7464059804485337
0.7777777777777777,0.926829268292683,0.4771689497716895,0.6299924642049737,0.7176538240368028
0.8333333333333333,0.967741935483871,0.410958904109589,0.5769230769230769,0.6963772282921219
0.8888888888888888,0.9864406779661017,0.3321917808219178,0.4970111016225448,0.6612995974698103
0.9444444444444444,0.9866666666666667,0.1689497716894977,0.2884990253411306,0.5802185163887291
1.0,0.0,0.0,0.0,0.496262219666475
