threshold,precision,recall,f1,accuracy
0.0,0.503737780333525,1.0,0.669980879541109,0.503737780333525
0.05555555555555555,0.5141843971631206,0.9931506849315068,0.677570093457944,0.5238642898217366
0.1111111111111111,0.5456273764258555,0.9828767123287672,0.7017114914425427,0.57906843013226
0.16666666666666666,0.5870020964360587,0.958904109589041,0.728218465539662,0.6394479585968947
0.2222222222222222,0.6326372776488786,0.9337899543378996,0.7542646380820653,0.6935020126509488
0.2777777777777778,0.6852173913043478,0.8995433789954338,0.7778874629812439,0.7412305922944221
0.3333333333333333,0.7160148975791434,0.8778538812785388,0.7887179487179488,0.7630822311673375
0.38888888888888884,0.7359605911330049,0.8527397260273972,0.790058170280275,0.7717078780908568
0.4444444444444444,0.75,0.8287671232876712,0.7874186550976139,0.7745830937320299
0.5,0.7658862876254181,0.7842465753424658,0.774957698815567,0.7705577918343876
0.5555555555555556,0.7840772014475271,0.7420091324200914,0.7624633431085044,0.7671075330649799
0.611111111111111,0.8028534370946823,0.70662100456621,0.7516697024893746,0.7648073605520413
0.6666666666666666,0.8517940717628705,0.6232876712328768,0.7198417930125248,0.7556066705002875
0.7222222222222222,0.8775137111517367,0.547945205479452,0.67463106113844,0.7337550316273721
0.7777777777777777,0.9238578680203046,0.4155251141552511,0.573228346456693,0.6883266244968372
0.8333333333333333,0.9776119402985075,0.2990867579908676,0.458041958041958,0.6434732604945371
0.8888888888888888,0.9885714285714285,0.19748858447488585,0.3292102759276879,0.5945945945945946
0.9444444444444444,1.0,0.0639269406392694,0.12017167381974247,0.5284646348476135
1.0,0.0,0.0,0.0,0.496262219666475
