threshold,precision,recall,f1,accuracy
0.0,0.503737780333525,1.0,0.669980879541109,0.503737780333525
0.05555555555555555,0.5099067599067599,0.9988584474885844,0.6751543209876543,0.515813686026452
0.1111111111111111,0.5541153596889177,0.976027397260274,0.7069036792062835,0.5922944220816562
0.16666666666666666,0.6090169992609017,0.9406392694063926,0.7393449977568416,0.6658999424956872
0.2222222222222222,0.6625207296849088,0.9121004566210046,0.7675312199807878,0.721679125934445
0.2777777777777778,0.6971894832275612,0.8778538812785388,0.7771601819100556,0.7464059804485337
0.3333333333333333,0.73558648111332,0.8447488584474886,0.7863974495217853,0.7688326624496837
0.38888888888888884,0.7571277719112989,0.8184931506849316,0.7866154690071311,0.7763082231167338
0.4444444444444444,0.7690582959641256,0.7831050228310502,0.7760180995475113,0.7722829212190915
0.5,0.7740046838407494,0.7545662100456622,0.7641618497109827,0.765382403680276
0.5555555555555556,0.8032994923857868,0.7226027397260274,0.7608173076923077,0.7711328349626222
0.611111111111111,0.8234482758620689,0.6815068493150684,0.74578388507183,0.7659574468085106
0.6666666666666666,0.8536977491961415,0.6061643835616438,0.7089452603471295,0.7492811960897068
0.7222222222222222,0.8745454545454545,0.5490867579908676,0.6746143057503506,0.7331799884991375
0.7777777777777777,0.9328537170263789,0.4440639269406393,0.6017014694508894,0.7038527889591719
0.8333333333333333,0.9673590504451038,0.3721461187214612,0.5375103050288541,0.6774008050603795
0.8888888888888888,0.9888475836431226,0.3036529680365297,0.46462882096069863,0.6474985623921794
0.9444444444444444,1.0,0.17123287671232876,0.29239766081871343,0.5825186889016676
1.0,0.0,0.0,0.0,0.496262219666475
