threshold,precision,recall,f1,accuracy
0.0,0.503737780333525,1.0,0.669980879541109,0.503737780333525
0.05555555555555555,0.507531865585168,1.0,0.6733282090699462,0.511213341000575
0.1111111111111111,0.5316923076923077,0.9863013698630136,0.6909236305477808,0.5554916618746406
0.16666666666666666,0.5780821917808219,0.9634703196347032,0.7226027397260274,0.6273720529039678
0.2222222222222222,0.6275704493526276,0.9406392694063926,0.7528551850159891,0.6889016676250719
0.2777777777777778,0.6799322607959356,0.9166666666666666,0.7807486631016042,0.7406555491661875
0.3333333333333333,0.7148114075436982,0.886986301369863,0.7916454406520631,0.7648073605520413
0.38888888888888884,0.7382352941176471,0.8595890410958904,0.7943037974683544,0.7757331799884991
0.4444444444444444,0.7528438469493278,0.8310502283105022,0.7900162778079218,0.777458309373203
0.5,0.7713347921225383,0.8047945205479452,0.7877094972067039,0.7814836112708453
0.5555555555555556,0.7779056386651323,0.771689497716895,0.774785100286533,0.7740080506037953
0.611111111111111,0.7932752179327521,0.7271689497716894,0.7587849910661107,0.7671075330649799
0.6666666666666666,0.8223776223776224,0.6712328767123288,0.7391577624135763,0.7613571017826337
0.7222222222222222,0.8735244519392917,0.591324200913242,0.7052416609938734,0.7510063254744106
0.7777777777777777,0.898989898989899,0.5079908675799086,0.6491611962071481,0.723404255319149
0.8333333333333333,0.9774011299435028,0.3949771689497717,0.5626016260162602,0.6906267970097757
0.8888888888888888,1.0,0.2853881278538813,0.44404973357015987,0.6400230017251294
0.9444444444444444,1.0,0.158675799086758,0.2738916256157636,0.5761932144910868
1.0,0.0,0.0,0.0,0.496262219666475
